Country,Region,Subregion,population,area_km2,density
Iraq,Asia,Western Asia,46042015,434128.0,106.0
Ireland,Europe,Northern Europe,5255018,68890.0,76.0
Isle of Man,Europe,Northern Europe,84161,570.0,148.0
Israel,Asia,Western Asia,10148000,21640.0,468.0
Italy,Europe,Southern Europe,59342867,295720.0,201.0
Jamaica,Americas,Latin America and the Caribbean,2839175,10830.0,262.0
Japan,Asia,Eastern Asia,123753041,364500.0,340.0
Jordan,Asia,Western Asia,11552876,88794.0,130.0
Kazakhstan,Asia,Central Asia,20592571,2699700.0,7.6
Kenya,Africa,Sub-Saharan Africa,56432945,569140.0,99.0
Kiribati,Oceania,Micronesia,134518,810.0,166.0
"Korea, Democratic People's Republic of",Asia,Eastern Asia,26498823,120410.0,220.0
"Korea, Republic of",Asia,Eastern Asia,51717590,97600.0,530.0
Kuwait,Asia,Western Asia,4934508,17820.0,277.0
Kyrgyzstan,Asia,Central Asia,7186009,191800.0,37.0
Lao People's Democratic Republic,Asia,South-eastern Asia,7769819,230800.0,34.0
Latvia,Europe,Northern Europe,1871872,62230.0,30.0
Lebanon,Asia,Western Asia,5805962,10230.0,568.0
Lesotho,Africa,Sub-Saharan Africa,2337423,30360.0,77.0
Liberia,Africa,Sub-Saharan Africa,5612817,96320.0,58.0
Libya,Africa,Northern Africa,7381023,1759540.0,4.2
Liechtenstein,Europe,Western Europe,39870,160.0,249.0
Lithuania,Europe,Northern Europe,2859110,62604.0,46.0
Luxembourg,Europe,Western Europe,673036,2575.0,261.0
Madagascar,Africa,Sub-Saharan Africa,31964956,581800.0,55.0
Malawi,Africa,Sub-Saharan Africa,21655286,94280.0,230.0
Malaysia,Asia,South-eastern Asia,35557674,328550.0,108.0
Maldives,Asia,Southern Asia,527799,300.0,1759.0
Mali,Africa,Sub-Saharan Africa,24478596,1220190.0,20.0
Malta,Europe,Southern Europe,539607,320.0,1686.0
Marshall Islands,Oceania,Micronesia,37548,180.0,209.0
Mauritania,Africa,Sub-Saharan Africa,5169396,1030700.0,5.0
Mauritius,Africa,Sub-Saharan Africa,1271169,1997.0,637.0
Mexico,Americas,Latin America and the Caribbean,130861007,1943950.0,67.0
Micronesia (Federated States of),Oceania,Micronesia,113161,700.0,162.0
Monaco,Europe,Western Europe,38631,2.0,19000.0
Mongolia,Asia,Eastern Asia,3475540,1557507.0,2.2
Montenegro,Europe,Southern Europe,638479,13450.0,47.0
Montserrat,Americas,Latin America and the Caribbean,4389,100.0,44.0
